,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Ground,Start Date,Match_id,Match_Type,Opponents_Team
0,8*,11,5,0,1,160.00,6,not out,1,Durban,22 Sep 2007,T20I # 45,T20I , Australia
1,1,3,4,0,0,25.00,7,caught,2,Hyderabad,5 Oct 2007,ODI # 2625,ODI , Australia
2,DNB,-,-,-,-,-,-,-,2,Brabourne,20 Oct 2007,T20I # 47,T20I , Australia
3,8,15,8,1,0,100.00,5,bowled,1,Melbourne,1 Feb 2008,T20I # 52,T20I , Australia
4,29,68,43,5,0,67.44,4,caught,1,Brisbane,3 Feb 2008,ODI # 2670,ODI , Australia
5,39*,86,61,2,0,63.93,6,not out,2,Melbourne,10 Feb 2008,ODI # 2675,ODI , Australia
6,1,12,3,0,0,33.33,4,caught,2,Adelaide,17 Feb 2008,ODI # 2680,ODI , Australia
7,1,3,3,0,0,33.33,4,caught,2,Sydney,24 Feb 2008,ODI # 2685,ODI , Australia
8,66,108,87,6,0,75.86,5,bowled,2,Sydney,2 Mar 2008,ODI # 2688,ODI , Australia
9,2,6,5,0,0,40.00,6,caught,1,Brisbane,4 Mar 2008,ODI # 2689,ODI , Australia
10,79*,65,46,4,6,171.73,4,not out,2,Bridgetown,7 May 2010,T20I # 165,T20I , Australia
11,0,2,1,0,0,0.00,5,bowled,2,Sydney,1 Feb 2012,T20I # 217,T20I , Australia
12,DNB,-,-,-,-,-,-,-,2,Melbourne,3 Feb 2012,T20I # 218,T20I , Australia
13,21,34,21,2,0,100.00,4,caught,2,Melbourne,5 Feb 2012,ODI # 3231,ODI , Australia
14,33,49,41,1,1,80.48,4,caught,2,Adelaide,12 Feb 2012,ODI # 3237,ODI , Australia
15,0,6,5,0,0,0.00,4,caught,2,Brisbane,19 Feb 2012,ODI # 3244,ODI , Australia
16,1,5,2,0,0,50.00,5,bowled,1,Colombo (RPS),28 Sep 2012,T20I # 278,T20I , Australia
17,8,8,8,0,1,100.00,1,caught,2,Rajkot,10 Oct 2013,T20I # 331,T20I , Australia
18,42,62,47,6,0,89.36,2,caught,2,Pune,13 Oct 2013,ODI # 3419,ODI , Australia
19,141*,195,123,17,4,114.63,1,not out,2,Jaipur,16 Oct 2013,ODI # 3420,ODI , Australia
20,11,33,22,2,0,50.00,1,caught,1,Mohali,19 Oct 2013,ODI # 3421,ODI , Australia
21,9*,19,13,1,0,69.23,1,not out,2,Ranchi,23 Oct 2013,ODI # 3422,ODI , Australia
22,79,119,89,7,3,88.76,1,caught,2,Nagpur,30 Oct 2013,ODI # 3424,ODI , Australia
23,209,222,158,12,16,132.27,1,caught,1,Bengaluru,2 Nov 2013,ODI # 3428,ODI , Australia
24,5,1,3,1,0,166.66,1,caught,1,Mirpur,30 Mar 2014,T20I # 393,T20I , Australia
25,43,142,89,5,0,48.31,6,caught,2,Adelaide,9 Dec 2014,Test # 2148,Test , Australia
26,6,37,18,1,0,33.33,6,caught,4,Adelaide,9 Dec 2014,Test # 2148,Test , Australia
27,32,93,55,3,1,58.18,6,caught,1,Brisbane,17 Dec 2014,Test # 2149,Test , Australia
28,0,2,2,0,0,0.00,6,caught,3,Brisbane,17 Dec 2014,Test # 2149,Test , Australia
29,53,179,133,5,2,39.84,3,bowled,2,Sydney,6 Jan 2015,Test # 2156,Test , Australia
30,39,102,90,2,2,43.33,3,caught,4,Sydney,6 Jan 2015,Test # 2156,Test , Australia
31,138,228,139,9,4,99.28,1,caught,1,Melbourne,18 Jan 2015,ODI # 3582,ODI , Australia
32,34,83,48,1,2,70.83,1,bowled,2,Sydney,26 Mar 2015,ODI # 3645,ODI , Australia
33,171*,205,163,13,7,104.90,1,not out,1,Perth,12 Jan 2016,ODI # 3723,ODI , Australia
34,124,175,127,11,3,97.63,1,run out,1,Brisbane,15 Jan 2016,ODI # 3724,ODI , Australia
35,6,17,11,0,0,54.54,1,caught,1,Melbourne,17 Jan 2016,ODI # 3725,ODI , Australia
36,41,28,25,2,3,164.00,1,caught,2,Canberra,20 Jan 2016,ODI # 3726,ODI , Australia
37,99,142,108,9,1,91.66,1,caught,2,Sydney,23 Jan 2016,ODI # 3727,ODI , Australia
38,31,21,20,4,1,155.00,1,caught,1,Adelaide,26 Jan 2016,T20I # 485,T20I , Australia
39,60,69,47,5,2,127.65,1,run out,1,Melbourne,29 Jan 2016,T20I # 486,T20I , Australia
40,52,57,38,5,1,136.84,1,caught,2,Sydney,31 Jan 2016,T20I # 489,T20I , Australia
41,12,25,17,1,0,70.58,1,bowled,2,Mohali,27 Mar 2016,T20I # 553,T20I , Australia
42,28,81,44,3,0,63.63,2,caught,1,Chennai,17 Sep 2017,ODI # 3910,ODI , Australia
43,7,24,14,1,0,50.00,2,caught,1,Eden Gardens,21 Sep 2017,ODI # 3912,ODI , Australia
44,71,94,62,6,4,114.51,2,caught,2,Indore,24 Sep 2017,ODI # 3914,ODI , Australia
45,65,93,55,1,5,118.18,2,run out,2,Bengaluru,28 Sep 2017,ODI # 3917,ODI , Australia
46,125,165,109,11,5,114.67,2,caught,2,Nagpur,1 Oct 2017,ODI # 3919,ODI , Australia
47,11,5,7,1,1,157.14,1,bowled,2,Ranchi,7 Oct 2017,T20I # 623,T20I , Australia
48,8,3,4,2,0,200.00,1,lbw,1,Guwahati,10 Oct 2017,T20I # 624,T20I , Australia
49,7,-,8,0,0,87.50,1,caught,2,Brisbane,21 Nov 2018,T20I # 712,T20I , Australia
50,TDNB,-,-,-,-,-,-,-,-,Melbourne,23 Nov 2018,T20I # 713,T20I , Australia
51,23,-,16,1,2,143.75,1,bowled,2,Sydney,25 Nov 2018,T20I # 714,T20I , Australia
52,37,71,61,2,3,60.65,6,caught,1,Adelaide,6 Dec 2018,Test # 2333,Test , Australia
53,1,15,6,0,0,16.66,6,caught,3,Adelaide,6 Dec 2018,Test # 2333,Test , Australia
54,63*,186,114,5,0,55.26,6,not out,1,Melbourne,26 Dec 2018,Test # 2337,Test , Australia
55,5,28,18,0,0,27.77,6,caught,3,Melbourne,26 Dec 2018,Test # 2337,Test , Australia
56,133,204,129,10,6,103.10,1,caught,2,Sydney,12 Jan 2019,ODI # 4077,ODI , Australia
57,43,71,52,2,2,82.69,1,caught,2,Adelaide,15 Jan 2019,ODI # 4078,ODI , Australia
58,9,-,17,1,0,52.94,1,caught,2,Melbourne,18 Jan 2019,ODI # 4079,ODI , Australia
59,5,11,8,0,0,62.50,1,caught,1,Visakhapatnam,24 Feb 2019,T20I # 748,T20I , Australia
60,37,-,66,5,0,56.06,1,caught,2,Hyderabad,2 Mar 2019,ODI # 4102,ODI , Australia
61,0,-,6,0,0,0.00,1,caught,1,Nagpur,5 Mar 2019,ODI # 4106,ODI , Australia
62,14,-,14,2,1,100.00,2,lbw,2,Ranchi,8 Mar 2019,ODI # 4109,ODI , Australia
63,95,-,92,7,2,103.26,1,caught,1,Mohali,10 Mar 2019,ODI # 4111,ODI , Australia
64,56,-,89,4,0,62.92,1,stumped,2,Delhi,13 Mar 2019,ODI # 4113,ODI , Australia
65,57,101,70,3,1,81.42,1,caught,1,The Oval,9 Jun 2019,ODI # 4155,ODI , Australia
66,10,-,15,2,0,66.66,1,caught,1,Wankhede,14 Jan 2020,ODI # 4231,ODI , Australia
67,42,-,44,6,0,95.45,1,lbw,1,Rajkot,17 Jan 2020,ODI # 4232,ODI , Australia
68,119,-,128,8,6,92.96,1,caught,2,Bengaluru,19 Jan 2020,ODI # 4233,ODI , Australia
69,26,110,77,3,1,33.76,1,caught,2,Sydney,7 Jan 2021,Test # 2402,Test , Australia
70,52,137,98,5,1,53.06,1,caught,4,Sydney,7 Jan 2021,Test # 2402,Test , Australia
71,44,90,74,6,0,59.45,1,caught,2,Brisbane,15 Jan 2021,Test # 2404,Test , Australia
72,7,34,21,1,0,33.33,1,caught,4,Brisbane,15 Jan 2021,Test # 2404,Test , Australia
73,11,13,9,1,1,122.22,2,caught,1,Mohali,20 Sep 2022,T20I # 1788,T20I , Australia
74,46*,-,20,4,4,230.00,2,not out,2,Nagpur,23 Sep 2022,T20I # 1794,T20I , Australia
75,17,19,14,2,1,121.42,2,caught,2,Hyderabad,25 Sep 2022,T20I # 1796,T20I , Australia
