,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Ground,Start Date,Match_id,Match_Type,Opponents_Team
0,7,9,7,0,1,100.00,4,caught,1,Christchurch,25 Feb 2009,T20I # 84,T20I , New Zealand
1,DNB,-,-,-,-,-,-,-,2,Hamilton,11 Mar 2009,ODI # 2824,ODI , New Zealand
2,43*,106,74,1,1,58.10,4,not out,1,Auckland,14 Mar 2009,ODI # 2825,ODI , New Zealand
3,4,13,11,0,0,36.36,3,caught,2,Dambulla,10 Aug 2010,ODI # 3030,ODI , New Zealand
4,44,56,48,4,1,91.66,5,caught,2,Bengaluru,7 Dec 2010,ODI # 3076,ODI , New Zealand
5,DNB,-,-,-,-,-,-,-,2,Chennai,10 Dec 2010,ODI # 3077,ODI , New Zealand
6,4*,2,2,0,0,200.00,6,not out,2,Chennai,11 Sep 2012,T20I # 261,T20I , New Zealand
7,3,24,23,0,0,13.04,1,caught,2,Napier,19 Jan 2014,ODI # 3456,ODI , New Zealand
8,20,42,34,2,1,58.82,2,caught,2,Hamilton,22 Jan 2014,ODI # 3458,ODI , New Zealand
9,39,65,38,1,4,102.63,1,caught,2,Auckland,25 Jan 2014,ODI # 3462,ODI , New Zealand
10,79,131,94,6,4,84.04,1,caught,1,Hamilton,28 Jan 2014,ODI # 3465,ODI , New Zealand
11,4,20,13,0,0,30.76,1,caught,2,Wellington,31 Jan 2014,ODI # 3467,ODI , New Zealand
12,72,167,120,8,1,60.00,5,bowled,2,Auckland,6 Feb 2014,Test # 2118,Test , New Zealand
13,19,90,59,2,0,32.20,5,caught,4,Auckland,6 Feb 2014,Test # 2118,Test , New Zealand
14,0,11,3,0,0,0.00,6,bowled,2,Wellington,14 Feb 2014,Test # 2120,Test , New Zealand
15,31*,122,97,4,0,31.95,5,not out,4,Wellington,14 Feb 2014,Test # 2120,Test , New Zealand
16,5,-,7,0,0,71.42,1,stumped,2,Nagpur,15 Mar 2016,T20I # 535,T20I , New Zealand
17,35,96,67,3,1,52.23,6,caught,1,Kanpur,22 Sep 2016,Test # 2221,Test , New Zealand
18,68*,156,93,8,0,73.11,6,not out,3,Kanpur,22 Sep 2016,Test # 2221,Test , New Zealand
19,2,22,12,0,0,16.66,6,caught,1,Eden Gardens,30 Sep 2016,Test # 2222,Test , New Zealand
20,82,214,132,9,2,62.12,6,caught,3,Eden Gardens,30 Sep 2016,Test # 2222,Test , New Zealand
